Latitude,Longitude
39.75668903600003,-104.995484
39.75624581581824,-104.98815849194597
39.75492706882469,-104.98101363927015
39.75276526694705,-104.9742256218373
39.74981364092214,-104.96796178136053
39.746144869578586,-104.96237648146918
39.74184929024282,-104.95760729432853
39.7370326743343,-104.95377160892524
39.73181362292212,-104.95096374494122
39.7263206463731,-104.94925264284217
39.720689,-104.94868018581663
39.715057353626904,-104.94926019296608
39.70956437707788,-104.95097810613092
39.7043453256657,-104.95379137540841
39.69952870975718,-104.95763053122509
39.695233130421414,-104.96240091419038
39.69156435907786,-104.96798501826142
39.68861273305295,-104.97424538832749
39.68645093117531,-104.98102800046684
39.68513218418176,-104.9881660420742
39.68468896399997,-104.995484
39.68513218418176,-105.00280195792581
39.68645093117531,-105.00993999953317
39.68861273305295,-105.01672261167252
39.69156435907786,-105.0229829817386
39.695233130421414,-105.02856708580963
39.69952870975718,-105.03333746877492
39.7043453256657,-105.0371766245916
39.70956437707788,-105.03998989386909
39.715057353626904,-105.04170780703393
39.720689,-105.04228781418338
39.7263206463731,-105.04171535715784
39.73181362292212,-105.04000425505879
39.7370326743343,-105.03719639107477
39.74184929024282,-105.03336070567148
39.746144869578586,-105.02859151853083
39.74981364092214,-105.02300621863948
39.75276526694705,-105.0167423781627
39.75492706882469,-105.00995436072986
39.75624581581824,-105.00280950805404
